,0x0,0xffffffff,0x7fffffff
IASystemCopy,0x55411a,0xffaabee5,0x7faabee5
__InputLayout,0x8d2a157c,0x72d5ea83,0x72d5ea83
Position,0xbf5a86a3,0x40a5795c,0x40a5795c
Texcoord,0x233b165b,0xdcc4e9a4,0x5cc4e9a4
IASystemClear,0x1b28058a,0xe4d7fa75,0x64d7fa75
Color,0xa79767ed,0x58689812,0x58689812
IAFilter,0x782683ea,0x87d97c15,0x7d97c15
IAFilter0,0xb47cf2c4,0x4b830d3b,0x4b830d3b
IAFilter1,0xc37bc252,0x3c843dad,0x3c843dad
IAFilter2,0x5a7293e8,0xa58d6c17,0x258d6c17
IADevelopPrim2D,0x11f85405,0xee07abfa,0x6e07abfa
TexCoord,0xe2fa395f,0x1d05c6a0,0x1d05c6a0
IADevelopPrim3D,0x8e36544,0xf71c9abb,0x771c9abb
IACollisionInput,0xb4c03801,0x4b3fc7fe,0x4b3fc7fe
IASwing,0x6e0e595e,0x91f1a6a1,0x11f1a6a1
SWING_ORIGIN,0x7c44105a,0x83bbefa5,0x3bbefa5
SWING_WEIGHT,0xa5781305,0x5a87ecfa,0x5a87ecfa
IASwing2,0x9668cca7,0x69973358,0x69973358
IASwingHighPrecision,0x30c980,0xffcf367f,0x7fcf367f
IASwing2HighPrecision,0xd2bdffe1,0x2d42001e,0x2d42001e
IAInstancing,0xaeb89675,0x5147698a,0x5147698a
INSTANCE_MATRIX,0x17064b8b,0xe8f9b474,0x68f9b474
IAInstancingColor,0xf54788e5,0xab8771a,0xab8771a
INSTANCE_COLOR,0x864c268a,0x79b3d975,0x79b3d975
IALatticeDeform,0x53881427,0xac77ebd8,0x2c77ebd8
LdVtx,0x92d935ff,0x6d26ca00,0x6d26ca00
IATetraDeform,0xb92f96bd,0x46d06942,0x46d06942
IATetraDeform2,0xafbc5eaa,0x5043a155,0x5043a155
IASkinBridge1wt,0x18d4f67c,0xe72b0983,0x672b0983
Joint,0x5c345303,0xa3cbacfc,0x23cbacfc
Normal,0x26296dd2,0xd9d6922d,0x59d6922d
IASkinBridge2wt,0x1a924825,0xe56db7da,0x656db7da
Weight,0x615077,0xff9eaf88,0x7f9eaf88
IASkinBridge4wt,0x1e1f3497,0xe1e0cb68,0x61e0cb68
IASkinBridge8wt,0x1705cdf3,0xe8fa320c,0x68fa320c
IASkinBridge4wt4M,0xed2a2a52,0x12d5d5ad,0x12d5d5ad
MorphPosition,0xc2d750f2,0x3d28af0d,0x3d28af0d
MorphNormal,0xb000ec9,0xf4fff136,0x74fff136
