,0x0,0xffffffff,0x7fffffff,0xfffff000
IASystemCopy,0x55411a,0xffaabee5,0x7faabee5,0xabee5001
IASystemClear,0x1b28058a,0xe4d7fa75,0x64d7fa75,0x7fa75002
IAFilter,0x782683ea,0x87d97c15,0x7d97c15,0x97c15003
IAFilter0,0xb47cf2c4,0x4b830d3b,0x4b830d3b,0x30d3b004
IAFilter1,0xc37bc252,0x3c843dad,0x3c843dad,0x43dad005
IAFilter2,0x5a7293e8,0xa58d6c17,0x258d6c17,0xd6c17006
IADevelopPrim2D,0x11f85405,0xee07abfa,0x6e07abfa,0x7abfa007
IADevelopPrim3D,0x8e36544,0xf71c9abb,0x771c9abb,0xc9abb008
IACollisionInput,0xb4c03801,0x4b3fc7fe,0x4b3fc7fe,0xfc7fe009
IASwing,0x6e0e595e,0x91f1a6a1,0x11f1a6a1,0x1a6a100a
IASwing2,0x9668cca7,0x69973358,0x69973358,0x7335800b
IASwingHighPrecision,0x30c980,0xffcf367f,0x7fcf367f,0xf367f00c
IASwing2HighPrecision,0xd2bdffe1,0x2d42001e,0x2d42001e,0x2001e00d
IAInstancing,0xaeb89675,0x5147698a,0x5147698a,0x7698a00e
IALatticeDeform,0x53881427,0xac77ebd8,0x2c77ebd8,0x7ebd800f
IATetraDeform,0xb92f96bd,0x46d06942,0x46d06942,0x6942010
IATetraDeform2,0xafbc5eaa,0x5043a155,0x5043a155,0x3a155011
IASkinBridge1wt,0x18d4f67c,0xe72b0983,0x672b0983,0xb0983012
IASkinBridge2wt,0x1a924825,0xe56db7da,0x656db7da,0xdb7da013
IASkinBridge4wt,0x1e1f3497,0xe1e0cb68,0x61e0cb68,0xcb68014
IASkinBridge8wt,0x1705cdf3,0xe8fa320c,0x68fa320c,0xa320c015
IASkinBridge4wt4M,0xed2a2a52,0x12d5d5ad,0x12d5d5ad,0x5d5ad016
IASkinTB1wt,0xb3457054,0x4cba8fab,0x4cba8fab,0xa8fab017
IASkinTBN1wt,0x85b9984e,0x7a4667b1,0x7a4667b1,0x667b1018
IASkinTBC1wt,0x77d34093,0x882cbf6c,0x82cbf6c,0xcbf6c019
IASkinTBNLA1wt,0x44b27887,0xbb4d8778,0x3b4d8778,0xd877801a
IASkinTB2wt,0xb103ce0d,0x4efc31f2,0x4efc31f2,0xc31f201b
IASkinTBN2wt,0x87ff2617,0x7800d9e8,0x7800d9e8,0xd9e801c
IASkinTBC2wt,0x7595feca,0x8a6a0135,0xa6a0135,0xa013501d
IASkinTBNLA2wt,0x46f4c6de,0xb90b3921,0x390b3921,0xb392101e
IASkinTB4wt,0xb58eb2bf,0x4a714d40,0x4a714d40,0x14d4001f
IASkinTBN4wt,0x83725aa5,0x7c8da55a,0x7c8da55a,0xda55a020
IASkinTBC4wt,0x71188278,0x8ee77d87,0xee77d87,0x77d87021
IASkinTBNLA4wt,0x4279ba6c,0xbd864593,0x3d864593,0x64593022
IASkinTB8wt,0xbc944bdb,0x436bb424,0x436bb424,0xbb424023
IASkinTBN8wt,0x8a68a3c1,0x75975c3e,0x75975c3e,0x75c3e024
IASkinTBC8wt,0x78027b1c,0x87fd84e3,0x7fd84e3,0xd84e3025
IASkinTBNLA8wt,0x4b634308,0xb49cbcf7,0x349cbcf7,0xcbcf7026
IANonSkinTB,0x55727d68,0xaa8d8297,0x2a8d8297,0xd8297027
IANonSkinTBC,0x7eeb64b0,0x81149b4f,0x1149b4f,0x49b4f028
IANonSkinTBL,0xee547921,0x11ab86de,0x11ab86de,0xb86de029
IANonSkinTBL_LA,0x6ec2bafb,0x913d4504,0x113d4504,0xd450402a
IANonSkinTBN,0x5a180d,0xffa5e7f2,0x7fa5e7f2,0x5e7f202b
IANonSkinTBA,0x90e5059c,0x6f1afa63,0x6f1afa63,0xafa6302c
IANonSkinTBNC,0x4366d902,0xbc9926fd,0x3c9926fd,0x926fd02d
IANonSkinTBNL,0xd3d9c493,0x2c263b6c,0x2c263b6c,0x63b6c02e
IANonSkinTBNL_LA,0x6a7abfd0,0x9585402f,0x1585402f,0x5402f02f
IANonSkinTBNA,0xad68b82e,0x529747d1,0x529747d1,0x747d1030
IANonSkinTBLA,0x9f5edaac,0x60a12553,0x60a12553,0x12553031
IANonSkinTBCA,0x18c6c663,0xe739399c,0x6739399c,0x9399c032
IANonSkinTBNCA,0x3d94997e,0xc26b6681,0x426b6681,0xb6681033
IANonSkinTBNLA,0xba0c85b1,0x45f37a4e,0x45f37a4e,0x37a4e034
IANonSkinB,0x8ce58282,0x731a7d7d,0x731a7d7d,0xa7d7d035
IANonSkinBC,0x3eedf829,0xc11207d6,0x411207d6,0x207d6036
IANonSkinBL,0xae52e5b8,0x51ad1a47,0x51ad1a47,0xd1a47037
IANonSkinBL_LA,0xa89759e7,0x5768a618,0x5768a618,0x8a618038
IANonSkinBA,0xd0e39905,0x2f1c66fa,0x2f1c66fa,0xc66fa039
IANonSkinBLA,0x16cdf7d0,0xe932082f,0x6932082f,0x2082f03a
IANonSkinBCA,0x9155eb1f,0x6eaa14e0,0x6eaa14e0,0xa14e003b
IASkinOTB_4WT_4M,0x128d0aa3,0xed72f55c,0x6d72f55c,0x2f55c03c
IANonSkinTBN_4M,0x2a9bcda5,0xd564325a,0x5564325a,0x4325a03d
IASkinVelocytyEdge,0x59e103eb,0xa61efc14,0x261efc14,0xefc1403e
IADualParaboloid,0xd934bdd6,0x26cb4229,0x26cb4229,0xb422903f
IA_DeferredLighting_LightVolume,0x7925f687,0x86da0978,0x6da0978,0xa0978040
IAPrimitiveCloudBillboard,0x53a9bbca,0xac564435,0x2c564435,0x64435041
IAPrimitiveCloud,0x12812fd6,0xed7ed029,0x6d7ed029,0xed029042
IAPrimitiveSprite,0xdb33338b,0x24cccc74,0x24cccc74,0xccc74043
IAPrimitiveNT,0xb78d7e7a,0x48728185,0x48728185,0x28185044
IAPrimitivePolyline,0x3a4aa31d,0xc5b55ce2,0x45b55ce2,0x55ce2045
IAPrimitivePolygon,0xaa97eb45,0x556814ba,0x556814ba,0x814ba046
IACubeMapFilter,0x226afde8,0xdd950217,0x5d950217,0x50217047
IAGSDOFFilter,0xae482ef8,0x51b7d107,0x51b7d107,0x7d107048
IABokeh,0xd6ec8828,0x291377d7,0x291377d7,0x377d7049
IAWater,0x742bfade,0x8bd40521,0xbd40521,0x4052104a
IAWaterRipple,0xa183b9c3,0x5e7c463c,0x5e7c463c,0xc463c04b
IAGUI,0xd70391d,0xf28fc6e2,0x728fc6e2,0xfc6e204c
IATextureBlend,0x63605cca,0x9c9fa335,0x1c9fa335,0xfa33504d
IAGPUParticle,0x2a788a9d,0xd5877562,0x55877562,0x7756204e
IAGPULineParticle,0x1a07cc5d,0xe5f833a2,0x65f833a2,0x833a204f
IAGPUPolylineParticle,0x223ebf6c,0xddc14093,0x5dc14093,0x14093050
IALightShaftInput,0xc56e509a,0x3a91af65,0x3a91af65,0x1af65051
